#gene	refseq	ensembl
OR4F5	NM_001005484.2	ENST00000641515.2
OR4F29	NM_001005221.2	ENST00000426406.4
OR4F16	NM_001005277.1	ENST00000332831.5
SAMD11	NM_001385641.1	ENST00000616016.5
NOC2L	NM_015658.4	ENST00000327044.7
KLHL17	NM_198317.3	ENST00000338591.8
PLEKHN1	NM_032129.3	ENST00000379410.8
PERM1	NM_001394713.1	ENST00000433179.4
HES4	NM_021170.4	ENST00000304952.11
ISG15	NM_005101.4	ENST00000649529.1
AGRN	NM_198576.4	ENST00000379370.7
RNF223	NM_001205252.2	ENST00000453464.3
C1orf159	NM_017891.5	ENST00000421241.7
TTLL10	NM_001130045.2	ENST00000379289.6
TNFRSF18	NM_004195.3	ENST00000379268.7
TNFRSF4	NM_003327.4	ENST00000379236.4
SDF4	NM_016176.6	ENST00000360001.12
B3GALT6	NM_080605.4	ENST00000379198.5
C1QTNF12	NM_001014980.3	ENST00000330388.2
UBE2J2	NM_058167.3	ENST00000349431.11
SCNN1D	NM_001130413.4	ENST00000379116.10
ACAP3	NM_030649.3	ENST00000354700.10
PUSL1	NM_153339.3	ENST00000379031.10
INTS11	NM_017871.6	ENST00000435064.6
CPTP	NM_001029885.2	ENST00000343938.9
TAS1R3	NM_152228.3	ENST00000339381.6
DVL1	NM_001330311.2	ENST00000378888.10
MXRA8	NM_032348.4	ENST00000309212.11
AURKAIP1	NM_017900.3	ENST00000338338.10
CCNL2	NM_030937.6	ENST00000400809.8
MRPL20	NM_017971.4	ENST00000344843.12
ANKRD65	NM_001145210.3	ENST00000537107.6
TMEM88B	NM_001146685.2	ENST00000378821.4
VWA1	NM_022834.5	ENST00000476993.2
ATAD3C	NM_001039211.3	ENST00000378785.7
ATAD3B	NM_031921.6	ENST00000673477.1
ATAD3A	NM_001170535.3	ENST00000378756.8
TMEM240	NM_001114748.2	ENST00000378733.9
SSU72	NM_014188.3	ENST00000291386.4
FNDC10	NM_001242659.2	ENST00000422725.4
MIB2	NM_001170687.4	ENST00000355826.10
MMP23B	NM_006983.2	ENST00000356026.10
CDK11B	NM_033486.3	ENST00000341832.11
SLC35E2B	NM_001290264.2	ENST00000617444.5
CDK11A	NM_024011.4	ENST00000404249.8
NADK	NM_023018.5	ENST00000341426.9
GNB1	NM_002074.5	ENST00000378609.9
CALML6	NM_138705.4	ENST00000307786.8
TMEM52	NM_178545.4	ENST00000310991.8
CFAP74	NM_001304360.2	ENST00000682832.2
GABRD	NM_000815.5	ENST00000378585.7
PRKCZ	NM_002744.6	ENST00000378567.8
FAAP20	NM_182533.4	ENST00000378546.9
SKI	NM_003036.4	ENST00000378536.5
MORN1	NM_024848.3	ENST00000378531.8
RER1	NM_007033.5	ENST00000605895.6
PEX10	NM_002617.4	ENST00000447513.7
PLCH2	NM_014638.4	ENST00000378486.8
PANK4	NM_018216.4	ENST00000378466.9
HES5	NM_001010926.4	ENST00000378453.4
TNFRSF14	NM_003820.4	ENST00000355716.5
PRXL2B	NM_152371.5	ENST00000419916.8
MMEL1	NM_033467.4	ENST00000378412.8
TTC34	NM_001242672.3	ENST00000401095.9
ACTRT2	NM_080431.5	ENST00000378404.4
PRDM16	NM_022114.4	ENST00000270722.10
ARHGEF16	NM_014448.4	ENST00000378378.9
MEGF6	NM_001409.4	ENST00000356575.9
TPRG1L	NM_182752.4	ENST00000378344.7
WRAP73	NM_017818.4	ENST00000270708.12
TP73	NM_005427.4	ENST00000378295.9
CCDC27	NM_152492.3	ENST00000294600.7
SMIM1	NM_001288583.2	ENST00000642557.4
LRRC47	NM_020710.3	ENST00000378251.3
CEP104	NM_014704.4	ENST00000378230.8
DFFB	NM_004402.4	ENST00000378209.8
